,word,vec
50860,vultus ariete fortior,
50861,trace,
50862,vestige,
50863,relic,
50864,remains,
50865,scar,
50866,cicatrix,
50867,footstep,
50868,footmark,
50869,footprint,
50870,pug,
50871,track mark,
50872,wake,
50873,trail,
50874,scent,
50875,piste,
50876,monument,
50877,hatchment,
50878,slab,
50879,tablet,
50880,trophy,
50881,achievement,
50882,obelisk,
50883,pillar,
50884,column,
50885,monolith,
50886,memorial,
50887,memento,
50888,testimonial,
50889,medal,
50890,commemoration,
50891,record,
50892,note,
50893,minute,
50894,register,
50895,registry,
50896,roll,
50897,cartulary,
50898,diptych,
50899,Domesday book,
50900,catalogue raisonne,
50901,entry,
50902,memorandum,
50903,indorsement,
50904,inscription,
50905,copy,
50906,duplicate,
50907,docket,
50908,notch,
50909,muniment,
50910,deed,
50911,document,
50912,deposition,
50913,proces verbal,
50914,affidavit,
50915,certificate,
50916,notebook,
50917,memorandum book,
50918,memo book,
50919,pocketbook,
50920,commonplace book,
50921,portfolio,
50922,pigeonholes,
50923,excerpta,
50924,adversaria,
50925,jottings,
50926,dottings,
50927,gazette,
50928,gazetteer,
50929,newspaper,
50930,daily,
50931,magazine,
50932,almanac,
50933,almanack,
50934,calendar,
50935,ephemeris,
50936,diary,
50937,log,
50938,journal,
50939,daybook,
50940,ledger,
50941,cashbook,
50942,petty cashbook,
50943,professional journal,
50944,scientific literature,
50945,the literature,
50946,primary literature,
50947,secondary literature,
50948,article,
50949,review article,
50950,archive,
50951,scroll,
50952,state paper,
50953,return,
50954,blue book,
50955,statistics,
50956,compte rendu,
50957,Acts of,
50958,Transactions of,
50959,Proceedings of,
50960,Hansard's Debates,
50961,chronicle,
50962,annals,
50963,legend,
50964,history,
50965,biography,
50966,Congressional Records,
50967,registration,
50968,registry,
50969,enrollment,
50970,inrollment,
50971,tabulation,
50972,entry,
50973,booking,
50974,signature,
50975,recorder,
50976,journalism,
50977,        ,
50978,recording,
50979,tape recording,
50980,videotape,
50981,        ,
50982,compact disk,
50983,floppy disk,
50984,diskette,
50985,hard disk,
50986,Winchester disk,
50987,read-only memory,
50988,ROM,
50989,write once read mostly memory,
50990,WORM,
50991,record,
50992,put on record,
50993,place on record,
50994,chronicle,
50995,calendar,
50996,hand down to posterity,
50997,keep up the memory,
50998,commemorate,
50999,report,
51000,write,
51001,commit to writing,
51002,reduce to writing,
51003,put in writing,
51004,set down in writing,
51005,writing in black and white,
51006,put down,
51007,jot down,
51008,take down,
51009,write down,
51010,note down,
51011,set down,
51012,note,
51013,minute,
51014,put on paper,
51015,take note,
51016,make a note,
51017,take minute,
51018,take memorandum,
51019,make a return,
51020,mark,
51021,sign,
51022,enter,
51023,book,
51024,post,
51025,post up,
51026,insert,
51027,make an entry of,
51028,mark off,
51029,tick off,
51030,register,
51031,enroll,
51032,inscroll,
51033,file,
51034,burn into memory,
51035,carve in stone,
51036,on record,
51037,exegi monumentum aere perennium,
51038,read their history in a nation's eyes,
51039,records that defy the tooth of time,
51040,obliteration,
51041,erasure,
51042,rasure,
51043,cancel,
51044,cancellation,
51045,circumduction,
51046,deletion,
51047,blot,
51048,tabula rasa,
51049,effacement,
51050,extinction,
51051,efface,
51052,obliterate,
51053,erase,
51054,raze,
51055,rase,
51056,expunge,
51057,cancel,
51058,blot out,
51059,take out,
51060,rub out,
51061,scratch out,
51062,strike out,
51063,wipe out,
51064,wash out,
51065,sponge out,
51066,wipe off,
51067,rub off,
51068,wipe away,
51069,deface,
51070,render illegible,
51071,draw the pen through,
51072,apply the sponge,
51073,be effaced,
51074,leave no trace,
51075,leave not a rack behind,
51076,obliterated,
51077,out of print,
51078,printless,
51079,leaving no trace,
51080,intestate,
51081,unrecorded,
51082,unregistered,
51083,unwritten,
51084,dele,
51085,out with it,
51086,delenda est Carthago,
51087,recorder,
51088,notary,
51089,clerk,
51090,registrar,
51091,registrary,
51092,register,
51093,prothonotary,
51094,amanuensis,
51095,secretary,
51096,scribe,
51097,babu,
51098,remembrancer,
51099,bookkeeper,
51100,custos rotulorum,
51101,Master of the Rolls,
51102,annalist,
51103,historian,
51104,historiographer,
51105,chronicler,
51106,journalist,
51107,biographer,
51108,antiquary,
51109,memorialist,
51110,interviewer,
51111,representation,
51112,representment,
51113,imitation,
51114,illustration,
51115,delineation,
51116,depictment,
51117,imagery,
51118,portraiture,
51119,iconography,
51120,design,
51121,designing,
51122,art,
51123,fine arts,
51124,painting,
51125,sculpture,
51126,engraving,
51127,photography,
51128,cinematography,
51129,radiography,
51130,autoradiography,
51131,fluorography,
51132,sciagraphy,
51133,personation,
51134,personification,
51135,impersonation,
51136,drama,
51137,picture,
51138,photo,
51139,photograph,
51140,daguerreotype,
51141,snapshot,
51142,X-ray photo,
51143,movie film,
51144,movie,
51145,tracing,
51146,scan,
51147,TV image,
51148,video image,
51149,image file,
51150,graphics,
51151,computer graphics,
51152,televideo,
51153,closed-circuit TV,
51154,copy,
51155,drawing,
51156,sketch,
51157,drought,
51158,draft,
51159,plot,
51160,chart,
51161,figure,
51162,scheme,
51163,image,
51164,likeness,
51165,icon,
51166,portrait,
51167,striking likeness,
51168,speaking likeness,
51169,very image,
51170,effigy,
51171,facsimile,
51172,figure,
51173,figure head,
51174,puppet,
51175,doll,
51176,figurine,
51177,aglet,
51178,manikin,
51179,lay-figure,
51180,model,
51181,mammet,
51182,marionette,
51183,fantoccini,
51184,waxwork,
51185,bust,
51186,statue,
51187,statuette,
51188,ideograph,
51189,hieroglyphic,
51190,anaglyph,
51191,kanji,
51192,diagram,
51193,monogram,
51194,map,
51195,plan,
51196,chart,
51197,ground plan,
51198,projection,
51199,elevation,
51200,ichnography,
51201,cartography,
51202,atlas,
51203,outline,
51204,scheme,
51205,view,
51206,radiograph,
51207,scotograph,
51208,sciagraph,
51209,spectrogram,
51210,heliogram,
51211,represent,
51212,delineate,
51213,depict,
51214,depicture,
51215,portray,
51216,take a likeness,
51217,catch a likeness,
51218,hit off,
51219,photograph,
51220,daguerreotype,
51221,snapshot,
51222,figure,
51223,shadow forth,
51224,shadow out,
51225,adumbrate,
51226,body forth,
51227,describe,
51228,trace,
51229,copy,
51230,mold,
51231,dress up,
51232,illustrate,
51233,symbolize,
51234,paint,
51235,carve,
51236,engrave,
51237,personate,
51238,personify,
51239,impersonate,
51240,assume a character,
51241,pose as,
51242,act,
51243,play,
51244,mimic,
51245,hold the mirror up to nature,
51246,represent,
51247,representing,
51248,representative,
51249,illustrative,
51250,represented,
